[INIT] Loaded 19 registry anchors for exclusion.
[SCAN] Processing 139 chapter files.

================================================================================
CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
Elara                     |   8 files | e.g., book_06_the_ragnarok_032_the_redo.md
Enkialu                   |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
Exactly                   |   8 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
GPT                       |   8 files | e.g., book_11_blood_and_legacy_065_secrets_of_the_deep.md
Grand                     |   8 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
Granite                   |   8 files | e.g., book_21_needle_and_thread_south_107_the_waking.txt
Halvar                    |   8 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
Hour                      |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
Language                  |   8 files | e.g., book_04_sage_saga_018_the_wandering.md
Last                      |   8 files | e.g., book_04_sage_saga_020_the_collapse.md
Library                   |   8 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Long                      |   8 files | e.g., book_20_the_discordant_pulse_south_104_the_rising_tide.md
MOVEMENT                  |   8 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
Martian                   |   8 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
Master                    |   8 files | e.g., book_10_infernal_vigil_057_enforced_enrollment.md
More                      |   8 files | e.g., book_01_book_of_genesis_004_the_convergence.md
Phoenix                   |   8 files | e.g., book_11_blood_and_legacy_061_the_hier.md
Precisely                 |   8 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Shattered                 |   8 files | e.g., book_06_the_ragnarok_032_the_redo.md
Storm                     |   8 files | e.g., book_05_the_nameless_one_027_the_claiming.md
Umbrageous                |   8 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Verdant                   |   8 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
Zeph                      |   8 files | e.g., book_21_needle_and_thread_south_110_the_bleeding_convergance.txt
Ancient                   |   7 files | e.g., book_11_blood_and_legacy_064_pass_through_shadow_and_flame.md
Architect                 |   7 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
Balance                   |   7 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
Beyond                    |   7 files | e.g., book_04_sage_saga_023_beyond_identity.md
Breath                    |   7 files | e.g., book_16_fragmented_beginning_085_ancient_knowledge.md
Chaos                     |   7 files | e.g., book_05_the_nameless_one_028_ragnarok.md
Cost                      |   7 files | e.g., book_07_light_resonance_and_the_function_041_the_tripartite_bond.md
DETECTED                  |   7 files | e.g., book_06_the_ragnarok_031_the_crash_site.md
Days                      |   7 files | e.g., book_01_book_of_genesis_003_first_contact.md
Departure                 |   7 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
Dregan                    |   7 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
Elder                     |   7 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
Ember                     |   7 files | e.g., book_17_ancestral_debt_088_shadows_of_umbrageous_fixed.md
Enheduanna                |   7 files | e.g., book_09_bureaucratic_debt_052_entry_without_standing.md
Evening                   |   7 files | e.g., book_22_listening_stone_south_113_the_edge_of_return.txt
FOCUS                     |   7 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Freedom                   |   7 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
Harbinger                 |   7 files | e.g., book_06_the_ragnarok_030_ummade_army.md
Host                      |   7 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Hub                       |   7 files | e.g., book_08_the_vigil_of_the_anchor_043_the_badlands_crucible.md
INCLUDED                  |   7 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Integration               |   7 files | e.g., book_04_sage_saga_020_the_collapse.md
Jorik                     |   7 files | e.g., book_06_the_ragnarok_036_highland_giants.md
Node                      |   7 files | e.g., book_07_light_resonance_and_the_function_039_jungle_fever.md
PERIOD                    |   7 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
POV                       |   7 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Plains                    |   7 files | e.g., book_08_the_vigil_of_the_anchor_043_the_badlands_crucible.md
Point                     |   7 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
REGION                    |   7 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Reptilians                |   7 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
SPIRE                     |   7 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
Sathinee                  |   7 files | e.g., book_18_inquisition_of_yourself_093_voices_between_worlds.md
Scene                     |   7 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
Sector                    |   7 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
Site                      |   7 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Speaker                   |   7 files | e.g., book_06_the_ragnarok_036_highland_giants.md
THREADS                   |   7 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
Total                     |   7 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
Tower                     |   7 files | e.g., book_06_the_ragnarok_031_the_crash_site.md
Vairis                    |   7 files | e.g., book_01_book_of_genesis_002_molten_descent.md
Vokh                      |   7 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
